cost_matrix_value,overall_accuracy,overall_precision,overall_recall,overall_f1,class1_accuracy,class1_precision,class1_recall,confusion_1_2_raw,confusion_1_2_precision,confusion_1_2_recall,results_dir,timestamp
0.0,0.760000,0.780402,0.760000,0.753029,0.540000,0.870968,0.540000,16,0.253968,0.320000,results/test_resnet_local_dataset_20250610_120623,20250610_120635
0.5,0.800000,0.796796,0.800000,0.795346,0.640000,0.761905,0.640000,8,0.156863,0.160000,results/test_resnet_local_dataset_20250610_120929,20250610_120941
1.0,0.800000,0.798397,0.800000,0.795335,0.660000,0.785714,0.660000,8,0.163265,0.160000,results/test_resnet_local_dataset_20250610_121236,20250610_121247
1.5,0.786667,0.783108,0.786667,0.782407,0.680000,0.739130,0.680000,8,0.173913,0.160000,results/test_resnet_local_dataset_20250610_121545,20250610_121557
2.0,0.793333,0.791540,0.793333,0.791026,0.700000,0.744681,0.700000,7,0.148936,0.140000,results/test_resnet_local_dataset_20250610_121855,20250610_121908
2.5,0.793333,0.791925,0.793333,0.789255,0.640000,0.780488,0.640000,11,0.203704,0.220000,results/test_resnet_local_dataset_20250610_122205,20250610_122216
3.0,0.753333,0.748627,0.753333,0.748163,0.600000,0.697674,0.600000,10,0.204082,0.200000,results/test_resnet_local_dataset_20250610_122513,20250610_122524
3.5,0.773333,0.768590,0.773333,0.769520,0.640000,0.695652,0.640000,9,0.187500,0.180000,results/test_resnet_local_dataset_20250610_122822,20250610_122834
4.0,0.806667,0.807940,0.806667,0.806257,0.760000,0.716981,0.760000,7,0.155556,0.140000,results/test_resnet_local_dataset_20250610_123126,20250610_123158
4.5,0.760000,0.758247,0.760000,0.755151,0.680000,0.666667,0.680000,8,0.195122,0.160000,results/test_resnet_local_dataset_20250610_123453,20250610_123504
5.0,0.773333,0.772296,0.773333,0.771301,0.720000,0.692308,0.720000,7,0.159091,0.140000,results/test_resnet_local_dataset_20250610_123800,20250610_123824
5.5,0.780000,0.781485,0.780000,0.780112,0.700000,0.744681,0.700000,9,0.166667,0.180000,results/test_resnet_local_dataset_20250610_124115,20250610_124127
6.0,0.766667,0.761720,0.766667,0.762152,0.660000,0.687500,0.660000,9,0.200000,0.180000,results/test_resnet_local_dataset_20250610_124420,20250610_124431
6.5,0.753333,0.748526,0.753333,0.748947,0.600000,0.697674,0.600000,12,0.230769,0.240000,results/test_resnet_local_dataset_20250610_124726,20250610_124738
7.0,0.760000,0.757417,0.760000,0.755341,0.700000,0.700000,0.700000,7,0.166667,0.140000,results/test_resnet_local_dataset_20250610_125035,20250610_125047
7.5,0.766667,0.762385,0.766667,0.760767,0.620000,0.704545,0.620000,8,0.173913,0.160000,results/test_resnet_local_dataset_20250610_125343,20250610_125355
8.0,0.773333,0.774552,0.773333,0.767404,0.680000,0.708333,0.680000,6,0.150000,0.120000,results/test_resnet_local_dataset_20250610_125651,20250610_125703
8.5,0.740000,0.736948,0.740000,0.736636,0.680000,0.680000,0.680000,9,0.204545,0.180000,results/test_resnet_local_dataset_20250610_125955,20250610_130006
9.0,0.766667,0.766342,0.766667,0.764579,0.700000,0.700000,0.700000,6,0.136364,0.120000,results/test_resnet_local_dataset_20250610_130259,20250610_130311
9.5,0.726667,0.725137,0.726667,0.725580,0.620000,0.659574,0.620000,11,0.211538,0.220000,results/test_resnet_local_dataset_20250610_130606,20250610_130618
10.0,0.793333,0.791691,0.793333,0.790507,0.680000,0.755556,0.680000,6,0.125000,0.120000,results/test_resnet_local_dataset_20250610_130910,20250610_130922
